"Countryres","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","CurrentOccup","Timeinposyr","Timeinposmn","Communitysize","MaritalStatus","Numsons","Numdaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","UCONSPRO","OTHCONSPRO","dpmean","aipmean","gpmean","swlsmean","Rank","RankChng","HDI","HDICHNG","HDICAT"
"Canada",28,"Female","No Kids","deg","full-time",45000,"RESEARCH",3,6,"Large-City","Single","0",0,1,1,1,1,1,2,2,1,3,2,4,3,3,1,4,2,2,2,4,1,5,1,1,5,4,3,2,3,5,1,3,5,1,3,4,5,3,2,4,2,2,5,4,4,5,"yes","yes",1,2.4,3.1,4,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","deg","full-time",25000,"ADMINISTRATOR",4,0,"Large-City","Married","0",0,3,4,3,5,5,2,2,5,5,5,5,3,3,4,5,1,3,2,2,4,5,2,2,5,5,2,5,3,5,3,3,5,1,3,3,4,3,5,5,4,3,4,3,4,3,"yes","no",4,3.4,3.65,3.4,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","Yes Kids","deg","full-time",87500,"",5,0,"Large Town","Married","0",1,4,4,3,3,3,5,3,5,5,5,5,3,5,3,5,2,2,2,4,5,5,3,4,5,3,3,5,3,5,3,5,4,5,4,4,5,5,5,5,4,3,3,3,2,2,"yes","yes",3.4,3.93333333333333,4.25,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","phd","full-time",87500,"",9,0,"Large-City","Married","1",1,4,4,4,4,4,3,2,5,5,5,5,5,3,5,5,5,5,5,2,5,5,3,4,3,4,2,5,4,5,2,3,5,5,4,5,5,4,5,5,4,2,2,2,4,2,"yes","yes",4,4.33333333333333,4.1,2.4,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","No Kids","deg","part-time",25000,"",7,8,"Village","Single","0",0,4,4,4,3,3,4,1,2,3,2,4,3,3,1,3,4,2,4,2,4,3,2,3,4,2,3,3,2,4,2,3,4,4,3,3,4,4,4,3,4,1,2,1,1,2,"yes","no",3.6,2.8,3.2,1.4,"10","(1)",0.92,"0.001","Very High"
"Canada",24,"Female","No Kids","deg","student",10000,"",0,0,"Village","Single","0",0,4,3,5,2,2,1,5,5,5,4,4,5,5,5,5,1,5,5,5,2,4,1,3,5,4,1,2,2,4,4,1,5,1,1,5,1,1,4,2,5,3,4,4,4,4,"yes","yes",3.2,4.13333333333333,2.8,3.8,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","No Kids","grade","unemployed",10000,"",NA,0,"Village","Single","0",0,5,4,5,4,4,1,2,5,3,5,5,5,5,4,5,4,2,3,2,5,5,4,4,1,1,2,5,4,5,4,4,5,1,2,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",4.4,3.73333333333333,3.75,1,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","deg","part-time",25000,"",0,6,"Village","Single","0",0,4,4,4,4,4,2,2,3,3,5,5,3,5,4,4,1,1,1,2,4,5,1,1,5,4,2,5,4,5,3,5,5,2,1,5,4,2,5,3,3,4,5,4,5,4,"yes","yes",4,3,3.5,4.4,"10","(1)",0.92,"0.001","Very High"
"Canada",32.5,"Male","Yes Kids","deg","full-time",67500,"",4,0,"Small Town","Married","0",1,4,3,5,5,5,1,1,4,4,4,3,4,4,2,4,4,3,2,4,4,4,2,4,4,2,4,4,4,4,3,3,4,1,3,4,4,4,3,4,4,2,3,2,3,2,"yes","yes",4.4,3.2,3.45,2.4,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","No Kids","ma","unemployed",15000,"",0,0,"Medium-Sized","Married","0",0,5,5,3,4,4,1,4,5,4,4,4,5,5,2,4,3,4,2,4,4,5,3,2,4,4,3,4,3,4,4,5,5,1,2,5,5,4,5,5,4,1,2,1,2,2,"yes","yes",4.2,3.66666666666667,3.85,1.6,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Female","Yes Kids","ltuni","full-time",55000,"",3,6,"Large Town","Married","1",1,5,4,4,4,4,1,1,1,3,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,5,3,4,3,4,4,3,4,1,4,4,4,3,4,5,3,5,5,4,5,3,"yes","no",4.2,3.06666666666667,3.6,4.4,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Female","Yes Kids","ma","full-time",150000,"",2,0,"Village","Married","0",1,4,5,4,3,3,2,2,3,3,2,3,2,4,2,3,1,2,4,3,3,4,3,4,1,3,3,3,4,5,4,4,5,3,3,4,5,4,3,3,3,4,4,4,4,4,"no","no",3.8,2.6,3.55,4,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","phd","full-time",45000,"",0,0,"Village","Married","0",0,4,4,5,3,3,1,1,3,2,4,2,2,3,2,3,1,1,2,2,2,3,1,3,2,3,2,3,5,5,2,4,4,1,2,4,3,2,4,4,4,3,3,3,3,1,"yes","no",3.8,2.06666666666667,3.05,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","deg","student",15000,"",1,0,"Village","Single","0",0,4,4,4,4,3,3,2,5,3,3,3,3,3,4,4,3,4,3,4,4,5,4,2,5,4,3,4,5,4,4,4,4,3,5,4,4,4,5,5,4,4,3,2,2,2,"yes","yes",3.8,3.4,4.1,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","dip","full-time",NA,"",10,0,"Small Town","Married","0",2,2,2,2,2,2,1,1,5,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,5,2,1,1,2,3,2,3,2,2,3,3,4,4,4,"no","no",2,1.6,1.85,3.6,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Male","Yes Kids","ltuni","full-time",45000,"",14,0,"8","Married","1",2,4,4,3,3,3,2,3,5,4,4,3,5,3,2,5,4,5,2,5,5,5,2,3,3,2,4,4,3,3,2,4,4,3,4,3,4,3,4,4,4,3,4,3,2,1,"yes","yes",3.4,3.8,3.4,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","No Kids","ma","part-time",25000,"",3,4,"Village","Single","0",0,4,4,2,2,3,3,1,1,4,3,4,4,4,3,4,3,1,3,1,3,5,2,2,2,4,2,5,2,4,1,2,4,1,2,3,3,2,4,4,4,3,2,3,4,4,"yes","no",3,2.8,2.9,3.2,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","Yes Kids","deg","full-time",150000,"",0,0,"Small Town","Married","3",1,4,4,4,4,4,2,2,3,3,4,4,5,4,3,4,3,4,4,3,4,4,3,4,4,3,3,4,4,4,3,4,4,3,3,5,5,5,4,4,4,2,2,2,3,1,"yes","yes",4,3.46666666666667,3.85,2,"10","(1)",0.92,"0.001","Very High"
"Canada",21,"Female","No Kids","ltuni","student",15000,"",0,1,"Village","Single","0",0,2,2,2,2,2,1,2,4,3,3,3,4,3,3,3,4,4,4,3,2,3,2,3,4,2,1,3,2,3,2,3,3,1,1,3,2,2,3,3,3,3,3,2,3,2,"yes","no",2,3.06666666666667,2.45,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",32.5,"Female","No Kids","ma","part-time",87500,"",0,2,"Village","Married","0",0,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,3,1,3,1,3,3,1,1,3,3,3,2,3,2,1,2,1,3,1,2,1,2,2,2,2,4,5,3,5,4,"yes","no",1.2,1.66666666666667,2,4.2,"10","(1)",0.92,"0.001","Very High"
"Canada",32.5,"Female","No Kids","ma","student",10000,"",4,0,"Village","Divorced","0",0,3,1,5,3,3,1,1,1,3,3,1,2,5,4,5,4,3,1,2,5,5,1,2,3,4,2,5,5,5,1,3,5,1,1,4,2,2,4,5,4,2,3,2,2,2,"yes","yes",3,2.73333333333333,3.2,2.2,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Male","No Kids","grade","unemployed",35000,"",1,2,"Small Town","Single","0",0,5,5,5,4,4,3,1,3,3,4,5,2,3,5,2,3,1,4,1,4,4,3,2,5,4,4,3,5,2,1,1,4,3,3,3,5,4,3,4,4,1,2,1,1,1,"yes","yes",4.6,2.93333333333333,3.35,1.2,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","No Kids","ma","full-time",87500,"",9,10,"Village","Married","0",0,3,2,2,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,3,2,4,4,4,4,4,"no","no",2.2,2,2.2,4,"10","(1)",0.92,"0.001","Very High"
"Canada",32.5,"Female","No Kids","deg","full-time",25000,"",2,0,"Large Town","Divorced","0",0,4,5,4,4,4,2,1,2,2,4,5,2,4,1,5,5,1,4,1,2,5,4,3,1,4,5,4,5,5,1,2,4,4,4,4,5,5,5,5,5,3,3,3,1,1,"yes","no",4.2,2.73333333333333,4,2.2,"10","(1)",0.92,"0.001","Very High"
"Canada",19,"Female","No Kids","lthigh","part-time",NA,"",0,9,"Small Town","Single","0",0,5,5,2,3,3,3,1,2,4,3,5,3,3,1,1,1,3,1,3,3,5,1,1,4,2,1,5,1,2,2,1,3,1,1,3,1,2,4,5,4,5,5,4,3,1,"yes","yes",3.6,2.46666666666667,2.45,3.6,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Female","Yes Kids","dip","unemployed",NA,"",8,0,"Small Town","Married","1",1,4,4,4,4,4,3,2,3,3,4,4,4,4,5,5,3,3,4,3,4,4,1,4,1,5,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,3,1,"yes","yes",4,3.6,3.65,2,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","No Kids","ma","student",55000,"",10,0,"Village","Single","0",0,3,3,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,3,1,1,3,2,3,3,4,1,2,4,2,1,3,4,1,4,4,4,5,5,5,5,4,"yes","no",3,1.26666666666667,2.65,4.8,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","No Kids","deg","full-time",150000,"",0,0,"Village","Widowed","0",0,3,4,5,5,5,4,3,5,1,4,2,4,5,4,4,5,4,4,4,5,5,4,4,5,3,3,4,5,3,4,3,4,4,3,5,5,5,4,4,5,2,4,3,4,3,"yes","no",4.4,3.86666666666667,4.1,3.2,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","Yes Kids","ltuni","full-time",45000,"",0,0,"Small Town","Separated","1",1,1,1,1,3,3,3,2,3,3,3,5,3,4,3,3,2,3,1,2,5,4,2,1,3,1,3,4,3,5,5,4,5,3,2,4,3,3,4,5,3,4,4,4,5,1,"yes","yes",1.8,3,3.35,3.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","dip","part-time",15000,"",6,0,"Medium-Sized","Married","1",1,4,4,3,3,3,2,3,4,4,5,5,5,5,4,4,3,4,4,4,4,4,2,4,2,4,3,5,4,2,3,4,4,4,4,4,4,4,5,5,5,2,2,3,3,2,"yes","yes",3.4,4,3.8,2.4,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","No Kids","ma","full-time",87500,"",8,0,"Village","Single","0",0,3,3,2,2,2,1,1,5,4,3,3,4,2,2,3,3,2,4,3,3,4,2,3,4,2,2,4,3,2,2,4,3,2,2,2,5,3,4,2,4,4,4,4,3,5,"yes","yes",2.4,2.86666666666667,2.95,4,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","Yes Kids","ltuni","full-time",67500,"",0,0,"Small Town","Separated","1",1,3,3,3,3,3,4,1,2,1,3,3,1,3,3,3,5,1,4,1,4,4,3,4,2,3,3,3,4,4,1,2,3,4,4,3,4,4,4,4,3,3,3,3,3,1,"yes","no",3,2.6,3.3,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","No Kids","ma","full-time",25000,"",0,2,"Village","Married","0",0,1,2,3,2,2,3,2,5,3,3,2,4,3,2,3,2,2,4,2,2,3,2,5,3,5,3,4,2,2,1,2,3,3,5,4,5,4,2,3,3,3,2,2,3,3,"yes","no",2,2.8,3.2,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",20,"Male","No Kids","ltuni","full-time",55000,"",0,5,"Small Town","Single","0",0,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,4,1,1,2,3,4,1,5,4,2,2,3,3,2,3,3,2,4,4,4,4,4,"no","no",1.2,1.33333333333333,2.4,4,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","Yes Kids","deg","full-time",150000,"",0,0,"8","Married","3",1,3,4,3,2,1,1,1,2,4,3,4,1,4,2,4,4,4,3,2,1,4,1,4,2,4,4,4,4,4,2,3,4,5,5,4,5,4,3,3,1,5,5,5,5,5,"yes","yes",2.6,2.66666666666667,3.5,5,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Male","Yes Kids","high","full-time",67500,"",4,0,"Village","Separated","1",1,4,3,2,2,2,3,2,3,4,3,2,3,3,3,3,5,3,3,3,3,3,2,4,5,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,2,3,2,3,1,"yes","no",2.6,3.06666666666667,3.6,2.2,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Female","Yes Kids","phd","full-time",150000,"",9,0,"","Married","0",2,2,1,4,2,1,2,1,4,2,2,1,2,4,4,4,2,2,3,1,3,3,3,3,2,3,3,3,2,3,1,4,3,4,1,3,3,3,2,3,1,5,5,5,5,5,"no","no",2,2.46666666666667,2.65,5,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","No Kids","phd","part-time",45000,"",0,3,"Village","Married","0",0,3,4,4,2,2,2,2,4,4,3,2,1,3,1,3,2,3,4,2,3,3,1,2,3,2,2,3,3,5,3,5,4,3,2,3,5,3,3,3,4,5,5,5,5,4,"yes","no",3,2.6,3.1,4.8,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","deg","full-time",25000,"",0,7,"Village","Single","0",0,3,4,4,4,4,3,2,3,3,4,2,4,5,5,5,5,5,3,4,5,5,5,3,4,5,3,5,4,4,3,3,4,2,2,5,3,3,4,4,3,1,3,1,2,2,"yes","yes",3.8,3.86666666666667,3.7,1.8,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","Yes Kids","ma","student",35000,"",1,6,"Small Town","Separated","2",0,3,5,2,2,2,3,1,5,4,5,3,5,4,5,5,1,3,3,3,3,5,3,5,4,5,2,5,2,5,5,4,4,4,4,4,5,4,5,4,5,3,3,3,2,1,"yes","yes",2.8,3.53333333333333,4.2,2.4,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Male","Yes Kids","dip","full-time",87500,"",10,0,"Small Town","Married","1",2,3,3,1,3,3,5,1,5,5,5,2,5,5,5,5,1,3,5,1,5,5,1,1,1,4,1,1,3,3,5,5,3,5,3,5,5,5,5,1,5,4,5,4,5,5,"yes","yes",2.6,3.86666666666667,3.35,4.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","No Kids","ltuni","part-time",10000,"",3,0,"Large-City","Married","0",0,5,5,5,5,5,3,1,5,3,4,2,4,5,5,5,4,2,4,1,4,4,3,4,2,4,4,5,4,1,4,3,5,3,5,4,4,2,4,4,4,2,4,3,3,1,"yes","yes",5,3.46666666666667,3.65,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","No Kids","dip","full-time",15000,"",3,0,"Medium-Sized","Married","0",0,3,3,3,3,3,1,1,2,1,3,1,1,2,1,3,3,2,5,1,2,3,1,1,1,3,4,3,4,4,1,4,3,4,2,2,3,3,4,4,3,3,3,3,3,2,"yes","no",3,1.93333333333333,2.85,2.8,"10","(1)",0.92,"0.001","Very High"
"Canada",25,"Female","No Kids","ma","student",10000,"",5,0,"Village","Single","0",0,2,2,2,2,2,1,1,1,1,1,3,3,4,1,4,2,1,2,1,2,3,1,1,1,3,3,4,3,5,1,1,5,1,2,3,1,1,4,4,4,2,2,3,4,2,"yes","yes",2,1.86666666666667,2.55,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Female","No Kids","phd","full-time",NA,"NA",0,0,"Small City","Single","0",0,4,4,3,1,1,1,2,2,4,2,1,4,4,2,3,2,3,2,4,2,4,1,1,1,3,1,3,3,3,2,4,4,2,2,3,2,3,4,3,4,3,3,3,4,4,"yes","no",2.6,2.53333333333333,2.65,3.4,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","No Kids","dip","full-time",150000,"SENIOR TECHNICAL",0,9,"Large-City","Married","0",0,5,5,3,3,3,2,2,2,5,4,1,3,4,4,5,4,4,1,3,4,5,2,1,5,1,3,4,4,4,5,4,5,1,2,4,3,3,5,4,2,2,5,3,3,2,"yes","yes",3.8,3.2,3.35,3,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","ma","part-time",67500,"TECHNICAL",17,0,"Large-City","Married","1",2,2,2,3,2,3,1,1,3,4,3,2,2,3,2,3,2,3,2,2,2,4,2,3,2,3,3,3,3,4,4,2,4,4,4,3,4,3,4,4,4,2,2,4,3,3,"yes","yes",2.4,2.33333333333333,3.35,2.8,"10","(1)",0.92,"0.001","Very High"
"Canada",22,"Female","No Kids","deg","full-time",25000,"TRAINING COORDINATOR",0,3,"Large-City","Single","0",0,4,5,5,5,5,2,1,1,1,5,5,5,5,4,5,5,1,3,1,5,1,5,3,1,5,5,3,4,5,1,1,5,5,5,5,5,5,4,5,5,2,2,2,1,1,"yes","yes",4.8,3.26666666666667,3.9,1.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","Yes Kids","phd","full-time",150000,"COLLEGE PROFESSOR",NA,0,"Large-City","Married","0",1,2,2,3,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,4,3,2,2,1,1,2,1,4,2,3,2,2,2,2,4,5,5,5,4,"no","no",1.8,1.4,2.2,4.6,"10","(1)",0.92,"0.001","Very High"
"Canada",20,"Female","No Kids","ltuni","student",10000,"NA",2,9,"Large Town","Single","0",0,5,5,5,5,5,5,4,5,5,5,4,3,5,4,5,3,5,4,4,2,4,2,3,5,5,3,5,5,5,3,3,5,1,5,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",5,4.2,4.1,1,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","deg","full-time",45000,"NA",2,2,"Large-City","Single","0",0,4,4,2,3,2,2,2,2,3,2,3,2,4,2,3,3,3,4,3,4,4,2,1,3,5,2,3,4,4,2,4,4,2,2,4,3,3,5,4,4,3,3,2,3,1,"yes","no",3,2.8,3.25,2.4,"10","(1)",0.92,"0.001","Very High"
"Canada",32.5,"Female","No Kids","ma","unemployed",NA,"NA",0,0,"Large-City","Single","0",0,3,3,5,2,2,3,2,5,3,2,3,4,4,1,2,4,2,5,2,4,4,1,4,5,5,2,5,5,5,2,4,5,5,5,4,2,4,4,4,5,3,5,4,4,3,"yes","yes",3,3.06666666666667,4,3.8,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",55000," INNKEEPER",17,0,"Rural/Country","Separated","1",1,4,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,"yes","yes",3.2,2.6,3.05,3,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Female","No Kids","ma","part-time",35000,"FREELANCE PROJECT MANAGER",2,0,"Large-City","Single","0",0,3,3,3,2,2,1,1,4,3,2,1,1,4,1,3,1,1,1,1,2,3,1,1,1,1,2,3,3,3,1,1,2,1,3,3,2,1,3,2,2,1,3,3,3,2,"yes","no",2.6,1.8,1.95,2.4,"10","(1)",0.92,"0.001","Very High"
"Canada",24,"Female","No Kids","deg","unemployed",25000,"NA",0,0,"Large-City","Single","0",0,5,5,4,5,5,3,3,3,4,5,5,5,4,3,4,2,4,2,4,5,5,3,3,2,5,3,5,3,5,3,4,3,3,4,4,5,5,4,5,4,2,3,2,2,2,"yes","yes",4.8,3.73333333333333,3.9,2.2,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",150000,"DEPUTY CHIEIF TECHNICAL",1,10,"Large-City","Married","1",1,2,2,3,1,1,1,1,1,2,3,2,1,2,2,1,4,1,2,1,3,3,1,2,3,1,2,3,2,3,1,4,3,2,2,3,5,2,4,3,3,4,4,4,4,3,"no","no",1.8,1.8,2.6,3.8,"10","(1)",0.92,"0.001","Very High"
"Canada",22,"Male","No Kids","high","part-time",15000,"DRIVER",0,3,"Medium-Sized","","0",0,3,3,4,3,2,4,2,5,3,4,2,4,3,2,5,2,3,3,2,4,5,1,2,4,1,2,4,3,4,2,2,3,4,5,4,4,4,4,4,4,2,1,3,2,2,"yes","yes",3,3.2,3.3,2,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","Yes Kids","ltuni","full-time",25000,"SELF EMPLOYED",23,0,"Rural/Country","Separated","0",2,5,2,4,1,1,3,1,4,1,4,5,5,3,2,3,5,2,2,1,5,5,3,3,5,1,1,4,3,4,1,2,5,4,1,5,5,5,4,5,5,3,3,3,3,2,"yes","yes",2.6,3.06666666666667,3.55,2.8,"10","(1)",0.92,"0.001","Very High"
"Canada",24,"Female","No Kids","ltuni","full-time",35000,"ACCOUNTING",1,0,"Medium-Sized","Married","0",0,2,3,3,3,3,1,1,1,3,2,3,2,3,3,3,1,2,1,1,2,3,1,1,1,2,3,3,2,2,1,2,3,1,1,3,2,2,2,3,3,4,4,4,4,4,"yes","no",2.8,1.93333333333333,2.05,4,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","No Kids","deg","full-time",87500,"TECHNICAL",2,0,"Large-City","Single","0",0,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,3,2,1,1,1,1,2,1,1,3,1,1,3,3,2,2,3,4,3,1,2,5,4,4,4,4,"no","no",1.8,1.66666666666667,1.9,4.2,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","No Kids","phd","full-time",150000,"MANAGER - ANALYTICAL AND ENVIRONMENTAL S",3,0,"Large-City","Married","0",0,2,1,1,1,1,1,1,1,3,2,1,1,2,1,3,2,1,1,1,1,3,1,1,1,5,1,1,1,1,1,3,2,1,1,1,1,1,3,1,2,4,4,4,4,4,"no","no",1.2,1.46666666666667,1.6,4,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Female","Yes Kids","ma","full-time",87500,"ENGINEER",28,0,"Rural/Country","Married","1",1,3,3,5,3,3,1,2,5,5,4,5,4,5,4,4,2,5,3,5,3,3,1,3,5,3,3,4,3,4,5,5,4,3,3,5,4,4,4,3,1,3,3,3,3,1,"yes","yes",3.4,3.8,3.5,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Male","No Kids","dip","full-time",25000,"GRAPHIC DESIGNER",4,0,"Large-City","Single","0",0,2,3,2,2,2,2,1,3,2,3,1,2,2,3,3,1,3,4,1,2,2,1,3,3,1,2,2,2,4,1,3,3,2,3,3,2,1,3,3,4,3,4,4,3,5,"yes","yes",2.2,2.2,2.4,3.8,"10","(1)",0.92,"0.001","Very High"
"Canada",23,"Female","No Kids","deg","student",25000,"NA",1,0,"Large-City","Married","0",0,4,4,4,4,4,4,5,4,5,5,2,4,5,5,5,5,5,5,5,4,4,3,5,2,5,5,4,5,5,5,4,4,4,4,4,4,4,5,4,3,4,4,3,4,3,"yes","yes",4,4.53333333333333,4.15,3.6,"10","(1)",0.92,"0.001","Very High"
"Canada",32.5,"Male","No Kids","ltuni","full-time",67500,"DIRECTOR",1,7,"Large-City","Married","0",0,5,5,3,3,3,4,2,3,3,5,5,3,5,5,5,5,3,4,2,5,5,3,3,4,4,4,5,3,5,2,3,5,5,4,5,5,4,5,1,5,2,3,3,3,2,"yes","yes",3.8,3.93333333333333,4,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","phd","full-time",55000,"COLLEGE PROFESSOR",23,0,"Large-City","Married","1",0,4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,2,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,1,3,2,1,1,"yes","yes",4,4.6,4.2,1.6,"10","(1)",0.92,"0.001","Very High"
"Canada",21,"Male","No Kids","ltuni","student",10000,"NA",0,0,"Medium-Sized","Single","0",0,4,3,3,2,2,1,1,4,2,2,4,3,3,2,4,3,4,4,2,1,4,1,3,4,2,2,4,3,4,3,3,4,3,3,4,4,4,4,3,3,1,3,3,2,1,"yes","yes",2.8,2.66666666666667,3.25,2,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",250000,"SPEAKER AUTHOR CONSULTANT",17,0,"Large-City","Married","2",2,3,3,3,2,2,3,1,4,2,2,2,2,3,2,3,3,1,4,1,3,3,2,3,2,4,4,3,4,4,1,4,3,3,2,3,3,3,2,3,4,4,5,4,3,3,"yes","no",2.6,2.4,3,3.8,"10","(1)",0.92,"0.001","Very High"
"Canada",28,"Female","No Kids","dip","full-time",NA,"NA",2,7,"","","0",0,4,3,4,3,3,1,1,1,3,2,3,2,3,2,3,3,2,2,2,1,4,1,2,4,3,4,3,4,4,1,4,3,1,4,3,4,2,4,4,3,3,3,4,3,2,"yes","",3.4,2.06666666666667,3.1,3,"10","(1)",0.92,"0.001","Very High"
"Canada",37.5,"Male","No Kids","ltuni","full-time",67500,"MANAGER",5,10,"Large-City","Divorced","0",0,2,3,2,2,2,4,1,4,1,2,2,3,4,2,2,1,1,1,1,4,3,1,2,4,3,2,4,3,4,1,1,3,4,2,4,4,2,4,3,4,2,2,2,2,5,"yes","no",2.2,2.2,2.9,2.6,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",150000,"ENGINEER",30,0,"Medium-Sized","Married","0",3,3,3,3,3,3,3,3,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"yes","yes",3,2.86666666666667,2.85,3,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",250000,"JANITOR",28,0,"Medium-Sized","Married","0",3,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.13333333333333,3,5,"10","(1)",0.92,"0.001","Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",150000,"MANAGER",6,0,"Large-City","Separated","2",1,3,2,2,2,1,1,2,3,2,2,4,2,3,2,2,4,2,3,2,3,3,1,2,1,1,2,2,4,3,1,5,2,1,2,3,3,2,3,2,2,4,4,4,4,4,"no","no",2,2.46666666666667,2.25,4,"10","(1)",0.92,"0.001","Very High"
"Canada",45,"Male","No Kids","ma","full-time",150000,"VICE-PRESIDENT",10,0,"Large-City","Married","0",0,2,4,2,2,2,3,3,5,3,3,2,4,4,2,4,3,3,4,3,3,4,3,3,4,3,2,4,3,4,3,3,4,4,2,4,4,4,4,3,4,4,5,4,5,4,"yes","yes",2.4,3.26666666666667,3.45,4.4,"10","(1)",0.92,"0.001","Very High"
